City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,-14.04,89,59,2.13,SJ,1674631228
1,kaitangata,-46.2817,169.8464,16.88,79,47,1.99,NZ,1674631000
2,hermanus,-34.4187,19.2345,19.89,49,0,4.59,ZA,1674631229
3,idukki,9.85,76.9667,29.31,40,97,0.78,IN,1674631158
4,barrow,71.2906,-156.7887,-27.89,98,78,7.08,US,1674630948
5,ranong,9.9658,98.6348,28.93,65,75,6.36,TH,1674631230
6,punta arenas,-53.15,-70.9167,10.06,62,75,9.26,CL,1674630983
7,toppenish,46.3774,-120.3087,2.62,84,22,0.48,US,1674631153
8,manaure,11.7751,-72.4445,25.04,70,95,9.84,CO,1674631231
9,rikitea,-23.1203,-134.9692,26.08,80,100,7.73,PF,1674631232
10,yellowknife,62.456,-114.3525,-19.71,84,75,1.54,CA,1674631051
11,kapaa,22.0752,-159.319,19.5,79,100,0.89,US,1674631233
12,avarua,-21.2078,-159.775,25.03,83,13,1.03,CK,1674631233
13,ushuaia,-54.8,-68.3,8.81,61,75,7.72,AR,1674631233
14,san felipe,10.3399,-68.7425,21.02,91,100,1.95,VE,1674631234
15,gharghoda,22.1667,83.35,32.07,16,6,0.91,IN,1674631234
16,charters towers,-20.1,146.2667,32.42,39,79,5.64,AU,1674631235
17,esperance,-33.8667,121.9,21.07,69,3,7.22,AU,1674631235
18,hasaki,35.7333,140.8333,2.38,38,54,12.1,JP,1674631236
19,vaini,-21.2,-175.2,27.88,70,13,5.84,TO,1674631236
20,el alto,-4.2714,-81.2147,21.84,77,97,4.45,PE,1674631237
21,nikel,69.4128,30.222,-8.1,96,100,3.65,RU,1674631237
22,salamiyah,35.0113,37.0532,10.86,72,5,1.94,SY,1674631237
23,darovskoy,58.77,47.9564,-7.6,96,100,3.19,RU,1674631238
24,laguna,38.421,-121.4238,8.86,89,0,1.54,US,1674631238
25,mwinilunga,-11.7358,24.4293,17.37,95,99,3.81,ZM,1674631238
26,tshane,-24.0196,21.8684,27.4,34,6,3.18,BW,1674631239
27,butaritari,3.0707,172.7902,27.44,79,100,8.16,KI,1674631240
28,fortuna,40.5982,-124.1573,5.51,93,0,4.12,US,1674631240
29,bud,39.447,-86.1758,2.99,94,100,3.74,US,1674631240
30,arawa,-6.2132,155.5367,27.6,78,100,1.04,PG,1674631241
31,norman wells,65.282,-126.8329,-17.98,78,75,1.54,CA,1674631241
32,leh,34.1667,77.5833,-6.62,89,100,2.85,IN,1674631101
33,port alfred,-33.5906,26.891,20.66,71,100,2.68,ZA,1674631242
34,pisco,-13.7,-76.2167,20.01,86,100,0.31,PE,1674631242
35,lerwick,60.1545,-1.1494,9.0,79,58,11.31,GB,1674631041
36,mataura,-46.1927,168.8643,17.46,60,45,2.87,NZ,1674631243
37,deputatskiy,69.3,139.9,-38.22,98,100,0.28,RU,1674631243
38,arraial do cabo,-22.9661,-42.0278,23.69,91,100,4.89,BR,1674631243
39,ankazobe,-18.3167,47.1167,18.06,96,100,2.32,MG,1674631244
40,albany,42.6001,-73.9662,-0.9,90,100,1.79,US,1674630755
41,atuona,-9.8,-139.0333,25.93,78,9,7.88,PF,1674631041
42,banepa,27.6298,85.5214,19.18,42,40,1.03,NP,1674631244
43,lima,-12.0432,-77.0282,21.61,84,100,2.22,PE,1674630772
44,shahr-e babak,30.1165,55.1186,1.66,46,87,0.77,IR,1674631245
45,juba,4.8517,31.5825,29.08,35,100,0.48,SS,1674631245
46,beringovskiy,63.05,179.3167,-25.15,94,39,5.65,RU,1674631246
47,faanui,-16.4833,-151.75,27.35,77,100,7.05,PF,1674631246
48,clyde river,70.4692,-68.5914,-26.87,69,100,3.09,CA,1674631246
49,busselton,-33.65,115.3333,27.8,39,0,4.56,AU,1674630927
50,vestmannaeyjar,63.4427,-20.2734,2.92,73,90,15.98,IS,1674631247
51,cape town,-33.9258,18.4232,21.17,52,0,4.92,ZA,1674631199
52,lakhdenpokhya,61.5198,30.1992,0.89,97,100,6.54,RU,1674631248
53,kodiak,57.79,-152.4072,2.73,100,100,1.54,US,1674630854
54,cherskiy,68.75,161.3,-31.45,97,100,0.46,RU,1674631248
55,labuhan,-6.8844,112.2051,28.72,72,100,5.43,ID,1674631010
56,tazovskiy,67.4667,78.7,-16.09,94,100,6.83,RU,1674631249
57,jovellar,13.0695,123.5999,24.41,82,66,6.12,PH,1674631249
58,rincon,32.296,-81.2354,14.92,95,100,2.28,US,1674631249
59,bluff,-46.6,168.3333,15.63,74,80,4.25,NZ,1674631250
60,grindavik,63.8424,-22.4338,1.26,75,40,10.8,IS,1674631250
61,bredasdorp,-34.5322,20.0403,19.06,43,0,2.97,ZA,1674630885
62,ponta do sol,32.6667,-17.1,15.4,61,9,4.47,PT,1674631251
63,alofi,-19.0595,-169.9187,27.2,72,24,3.28,NU,1674631251
64,sitka,57.0531,-135.33,7.35,97,100,3.4,US,1674631251
65,nagua,19.3832,-69.8474,20.93,83,4,1.86,DO,1674631252
66,vardo,70.3705,31.1107,-1.58,81,100,6.01,NO,1674631252
67,tura,25.5198,90.2201,26.88,28,9,2.16,IN,1674631253
68,hilo,19.7297,-155.09,21.82,95,12,0.89,US,1674631253
69,thomaston,32.8882,-84.3266,9.88,82,100,5.14,US,1674631254
70,tacoronte,28.4769,-16.4102,15.14,82,40,2.68,ES,1674631254
71,jamestown,42.097,-79.2353,-1.27,61,100,1.34,US,1674631254
72,hobart,-42.8794,147.3294,26.79,54,20,4.12,AU,1674631255
73,ribeira grande,38.5167,-28.7,14.87,89,13,3.13,PT,1674631255
74,baracs,46.882,18.9066,0.33,87,1,2.37,HU,1674631255
75,quatre cocos,-20.2078,57.7625,23.94,94,100,4.01,MU,1674631256
76,coleraine,55.1333,-6.6667,9.73,85,100,6.34,GB,1674631256
77,binghamton,42.0987,-75.918,-3.12,89,100,0.62,US,1674630961
78,kismayo,-0.3582,42.5454,28.09,68,7,8.01,SO,1674631257
79,mar del plata,-38.0023,-57.5575,18.38,71,0,5.36,AR,1674631233
80,aripuana,-9.1667,-60.6333,22.14,99,98,0.46,BR,1674631257
81,puri,19.8,85.85,30.29,51,0,2.56,IN,1674631258
82,severo-kurilsk,50.6789,156.125,-1.34,96,100,29.09,RU,1674631258
83,port elizabeth,-33.918,25.5701,21.29,67,61,3.13,ZA,1674631259
84,bara,10.3744,10.7288,23.18,16,71,1.83,NG,1674631259
85,nanortalik,60.1432,-45.2371,2.45,92,100,20.61,GL,1674630968
86,qaanaaq,77.484,-69.3632,-14.21,68,100,4.25,GL,1674631260
87,arvika,59.6553,12.5852,5.51,97,100,5.37,SE,1674631260
88,xai-xai,-25.0519,33.6442,28.92,63,98,7.1,MZ,1674631260
89,kruisfontein,-34.0033,24.7314,19.94,43,76,2.98,ZA,1674631261
90,hithadhoo,-0.6,73.0833,27.55,75,100,5.22,MV,1674631261
91,comodoro rivadavia,-45.8667,-67.5,13.92,41,0,6.17,AR,1674631262
92,xingyi,24.1877,102.817,19.28,32,9,4.35,CN,1674631262
93,talaya,61.3833,152.75,-29.39,98,100,1.5,RU,1674631263
94,college,64.8569,-147.8028,-14.56,84,100,0.88,US,1674631263
95,mago,53.2514,140.1822,-20.77,93,100,3.28,RU,1674631264
96,pangnirtung,66.1451,-65.7125,-19.77,99,100,2.24,CA,1674631264
97,west bay,19.3667,-81.4167,25.0,85,4,0.89,KY,1674631265
98,new norfolk,-42.7826,147.0587,26.6,28,83,2.68,AU,1674631265
99,chara,56.9064,118.2631,-26.46,97,100,0.5,RU,1674631266
100,koster,-25.863,26.8976,24.02,27,0,5.69,ZA,1674631266
101,tiksi,71.6872,128.8694,-39.06,98,52,3.56,RU,1674631267
102,tautira,-17.7333,-149.15,27.03,82,47,7.57,PF,1674631267
103,kavaratti,10.5669,72.642,25.61,81,100,6.25,IN,1674631267
104,rapid valley,44.0625,-103.1463,0.33,75,100,9.77,US,1674631089
105,ahipara,-35.1667,173.1667,19.57,69,86,5.19,NZ,1674631269
106,gazojak,41.1875,61.4036,-1.1,28,100,3.84,TM,1674631270
107,nantucket,41.2835,-70.0995,3.41,79,94,7.62,US,1674631270
108,victoria,22.2855,114.1577,16.09,65,95,4.47,HK,1674631271
109,la crosse,43.8014,-91.2396,-1.72,91,100,1.34,US,1674631271
110,mahebourg,-20.4081,57.7,24.03,93,100,4.1,MU,1674631271
111,mount isa,-20.7333,139.5,35.87,36,40,2.57,AU,1674631272
112,stornoway,58.2093,-6.3865,6.98,84,40,6.17,GB,1674631040
113,bengkulu,-3.8004,102.2655,28.38,65,69,3.91,ID,1674631272
114,nelson bay,-32.7167,152.15,27.27,78,0,6.71,AU,1674631273
115,hukuntsi,-24.0,21.75,27.01,33,6,3.39,BW,1674631273
116,saint george,37.1041,-113.5841,1.35,60,0,0.89,US,1674631108
117,upernavik,72.7868,-56.1549,-14.9,93,99,1.85,GL,1674631274
118,saint-philippe,-21.3585,55.7679,27.77,90,100,4.86,RE,1674631275
119,srednekolymsk,67.45,153.6833,-29.68,92,100,2.35,RU,1674631275
120,sidney,-33.8679,151.2073,30.27,70,20,6.69,AU,1674631178
121,pevek,69.7008,170.3133,-26.31,76,48,0.98,RU,1674631276
122,nakhon phanom,17.3333,104.4167,25.72,27,3,2.34,TH,1674631277
123,clinton,42.587,-82.9199,1.12,85,100,0.45,US,1674631278
124,thompson,55.7435,-97.8558,-20.91,84,100,0.0,CA,1674631121
125,gurupi,-11.7292,-49.0686,21.37,84,100,1.19,BR,1674631278
126,lupiro,-8.3833,36.6667,24.86,84,100,0.97,TZ,1674631279
127,pringsewu,-5.3582,104.9744,25.61,82,100,1.34,ID,1674631279
128,dikson,73.5069,80.5464,-17.77,92,100,12.33,RU,1674631280
129,nhulunbuy,-12.2333,136.7667,25.34,94,100,2.57,AU,1674631280
130,lavrentiya,65.5833,-171.0,-26.25,92,5,6.08,RU,1674631281
131,cayenne,4.9333,-52.3333,21.02,94,20,0.0,GF,1674631281
132,jimani,18.4917,-71.8502,20.56,77,0,1.62,DO,1674631282
133,tasiilaq,65.6145,-37.6368,-9.64,68,100,2.7,GL,1674631282
134,broome,42.2506,-75.833,-2.57,98,100,0.65,US,1674631283
135,narsaq,60.9167,-46.05,1.15,89,100,11.19,GL,1674631283
136,ancud,-41.8697,-73.8203,10.88,86,35,1.03,CL,1674631284
137,mocuba,-16.8392,36.9856,29.14,61,29,3.87,MZ,1674631284
138,gimbi,9.1667,35.8333,23.53,27,15,0.68,ET,1674631285
139,rocha,-34.4833,-54.3333,16.16,67,2,3.1,UY,1674631285
140,coihaique,-45.5752,-72.0662,10.97,62,0,3.09,CL,1674631106
141,eyrarbakki,63.863,-21.1481,0.17,77,100,9.06,IS,1674631286
142,harper,4.375,-7.7169,25.22,86,36,1.38,LR,1674631286
143,tuktoyaktuk,69.4541,-133.0374,-20.73,98,100,4.3,CA,1674631287
144,tessalit,20.1986,1.0114,17.95,18,0,3.83,ML,1674631287
145,namibe,-15.1961,12.1522,24.8,77,60,1.28,AO,1674631288
146,araouane,18.9048,-3.5265,18.5,19,5,4.38,ML,1674631289
147,chokurdakh,70.6333,147.9167,-34.16,97,100,0.96,RU,1674631289
148,lazaro cardenas,17.9583,-102.2,20.92,77,0,1.92,MX,1674631289
149,ascope,-7.7144,-79.1078,22.25,72,98,1.18,PE,1674631290
150,georgetown,5.4112,100.3354,29.96,77,20,4.12,MY,1674631290
151,asau,46.4333,26.4,-2.49,85,97,1.41,RO,1674631290
152,victor harbor,-35.5667,138.6167,24.27,68,25,1.34,AU,1674631291
153,liku,-0.7275,119.8922,27.15,83,99,2.12,ID,1674631291
154,debre birhan,9.6833,39.5333,15.29,31,66,2.14,ET,1674631292
155,mahibadhoo,3.7833,72.9667,26.32,77,82,1.89,MV,1674631292
156,balurghat,25.2167,88.7667,28.43,28,8,1.65,IN,1674631292
157,luderitz,-26.6481,15.1594,21.09,55,59,8.06,NA,1674631293
158,konevo,62.1215,39.3192,-0.95,94,100,5.78,RU,1674631293
159,nikolskoye,59.7035,30.7861,-0.05,93,100,4.81,RU,1674631294
160,castro,-24.7911,-50.0119,15.26,90,0,1.12,BR,1674631294
161,changji,44.0167,87.3167,-12.56,61,0,2.0,CN,1674631294
162,khatanga,71.9667,102.5,-29.82,87,100,1.51,RU,1674631295
163,ilulissat,69.2167,-51.1,-13.07,77,100,4.66,GL,1674631295
164,yinchuan,38.4681,106.2731,-4.43,14,88,1.31,CN,1674631048
165,provideniya,64.3833,-173.3,-21.67,76,0,5.08,RU,1674631296
166,nome,64.5011,-165.4064,-26.01,92,11,2.92,US,1674631296
167,russell,32.3502,-85.1999,11.77,76,100,5.14,US,1674631297
168,bartica,6.4,-58.6167,18.7,98,41,0.37,GY,1674631297
169,santa isabel do rio negro,-0.4139,-65.0192,21.8,89,100,1.09,BR,1674631297
170,hoshcha,50.6003,26.6744,0.27,91,100,1.23,UA,1674631298
171,sosva,59.1766,61.8558,-8.72,84,29,5.31,RU,1674631298
172,auki,-8.7676,160.7034,27.54,75,100,0.93,SB,1674631298
173,iwanai,42.9744,140.5089,-10.62,89,100,12.22,JP,1674631299
174,viesite,56.3475,25.5551,-1.13,95,100,3.66,LV,1674631299
175,jacareacanga,-6.2222,-57.7528,21.8,99,100,0.25,BR,1674631300
176,umarkot,25.3616,69.7362,20.45,10,0,3.85,PK,1674631300
177,morros,-9.4467,-46.3003,23.29,81,17,1.1,BR,1674631300
178,yar-sale,66.8333,70.8333,-15.6,95,100,3.28,RU,1674631301
179,genhe,50.7833,121.5167,-23.48,79,19,0.95,CN,1674631301
180,newport,51.5877,-2.9984,2.26,94,100,1.44,GB,1674631301
181,shache,38.4167,77.2406,-7.15,68,62,1.5,CN,1674631302
182,marawi,7.9986,124.2928,21.09,87,100,1.86,PH,1674631303
183,kajaani,64.2273,27.7285,3.37,94,100,8.82,FI,1674631303
184,agogo,6.8,-1.0819,21.34,92,41,1.0,GH,1674631304
185,muriti,-1.9833,32.9167,23.12,66,30,2.76,TZ,1674631304
186,trinidad,-14.8333,-64.9,22.33,95,100,2.46,BO,1674631304
187,san patricio,28.017,-97.5169,12.13,57,0,6.32,US,1674631305
188,qandala,11.472,49.8728,25.52,55,0,4.84,SO,1674631305
189,honiara,-9.4333,159.95,27.17,85,100,2.34,SB,1674631305
190,vavuniya,8.7514,80.4971,29.92,45,19,3.34,LK,1674631306
191,naryan-mar,67.6713,53.087,-6.21,92,87,8.21,RU,1674631306
192,spartanburg,34.9496,-81.9321,6.91,67,100,0.45,US,1674631307
193,bethel,41.3712,-73.414,1.38,75,95,1.06,US,1674631246
194,itabira,-19.6192,-43.2269,19.22,98,100,0.56,BR,1674631194
195,shingu,33.7333,135.9833,3.49,47,100,5.06,JP,1674631307
196,northam,51.0333,-4.2167,5.34,96,90,1.37,GB,1674631308
197,pacific grove,36.6177,-121.9166,8.14,86,52,3.08,US,1674631308
198,cidreira,-30.1811,-50.2056,23.97,88,0,4.46,BR,1674631309
199,saskylakh,71.9167,114.0833,-25.37,98,100,2.63,RU,1674631309
200,punta alta,-38.8759,-62.0736,15.86,53,0,4.5,AR,1674631309
201,caravelas,-17.7125,-39.2481,24.97,87,100,3.99,BR,1674631310
202,mahon,39.8885,4.2658,9.31,87,40,6.69,ES,1674631310
203,batagay,67.6333,134.6333,-49.04,99,97,0.83,RU,1674631311
204,weiser,44.251,-116.9693,-5.62,88,100,0.55,US,1674631115
205,hamilton,39.1834,-84.5333,1.6,91,100,3.6,US,1674631218
206,salinopolis,-0.6136,-47.3561,24.29,88,100,3.65,BR,1674631311
207,turukhansk,65.8167,87.9833,-25.01,87,100,5.77,RU,1674631312
208,usinsk,65.9939,57.5281,-11.01,95,99,7.49,RU,1674631312
209,baykit,61.67,96.37,-28.59,99,98,0.71,RU,1674631312
210,zhezkazgan,47.8043,67.7144,-19.01,78,40,2.0,KZ,1674631313
211,whitehorse,60.7161,-135.0538,1.43,75,100,5.14,CA,1674631190
212,general higinio morinigo,-25.95,-55.9167,21.52,60,3,1.56,PY,1674631314
213,east london,-33.0153,27.9116,19.52,77,100,4.63,ZA,1674630958
214,chuy,-33.6971,-53.4616,17.37,77,79,2.58,UY,1674631187
215,astana,51.1801,71.446,-16.03,85,40,3.0,KZ,1674631314
216,mehran,33.1222,46.1646,14.91,33,0,1.34,IR,1674631315
217,guerrero negro,27.9769,-114.0611,13.35,46,46,1.65,MX,1674631151
218,nyurba,63.2842,118.3319,-43.5,99,91,1.08,RU,1674631315
219,west lorne,42.6001,-81.5998,-2.4,90,100,2.91,CA,1674631315
220,hambantota,6.1241,81.1185,29.53,56,38,4.14,LK,1674631316
221,znamenskoye,57.1281,73.8282,-6.2,90,100,4.72,RU,1674631316
222,agadir,30.4202,-9.5982,5.25,38,0,1.25,MA,1674631317
223,kovdor,67.5662,30.4758,-0.8,98,100,2.3,RU,1674631317
224,puerto escondido,15.85,-97.0667,23.53,75,7,2.85,MX,1674631318
225,nouadhibou,20.931,-17.0347,17.39,63,1,7.82,MR,1674631318
226,glendive,47.1053,-104.7125,-5.46,97,100,0.82,US,1674631318
227,husavik,66.0449,-17.3389,-0.81,95,100,9.72,IS,1674631319
228,morondava,-20.2833,44.2833,25.37,96,100,19.52,MG,1674631319
229,umm lajj,25.0213,37.2685,22.41,62,0,1.14,SA,1674631320
230,dingle,10.9995,122.6711,26.23,80,58,8.03,PH,1674631320
231,san quintin,30.4833,-115.95,12.32,56,100,0.66,MX,1674631320
232,carnarvon,-24.8667,113.6333,28.81,63,0,9.78,AU,1674630906
233,alugan,12.2188,125.4808,26.71,75,22,7.36,PH,1674631321
234,pattaya,12.9333,100.8833,30.02,46,51,7.17,TH,1674631321
235,puerto ayora,-0.7393,-90.3518,23.64,96,11,1.39,EC,1674631322
236,de land,29.0283,-81.3031,19.41,88,0,3.09,US,1674631322
237,kalmunai,7.4167,81.8167,27.4,65,65,5.1,LK,1674631323
238,flinders,-34.5833,150.8552,27.88,73,0,2.68,AU,1674631323
239,la ronge,55.1001,-105.2842,-7.86,86,100,1.54,CA,1674631324
240,alakurtti,66.9672,30.3491,1.31,99,100,4.1,RU,1674631324
241,saldanha,-33.0117,17.9442,18.1,58,0,8.39,ZA,1674631325
242,naliya,23.2667,68.8333,21.43,21,0,4.21,IN,1674631155
243,mayumba,-3.432,10.6554,26.17,81,100,2.06,GA,1674631326
244,los llanos de aridane,28.6585,-17.9182,14.86,76,100,4.92,ES,1674631326
245,conceicao da barra,-18.5933,-39.7322,24.42,90,100,3.31,BR,1674631327
246,mehamn,71.0357,27.8492,0.71,82,100,5.05,NO,1674631327
247,liling,27.6667,113.5,8.39,37,0,1.12,CN,1674631328
248,buraydah,26.326,43.975,14.83,75,96,5.03,SA,1674631328
249,matamoros,25.5333,-103.25,8.39,18,0,2.39,MX,1674631328
250,sun valley,39.5963,-119.776,-1.4,75,3,1.49,US,1674631329
251,elko,41.0002,-115.5012,-14.76,96,93,1.57,US,1674631329
252,pedro ii,-4.4247,-41.4586,18.99,97,56,0.55,BR,1674631330
253,henties bay,-22.116,14.2845,18.11,85,95,3.37,NA,1674631330
254,tenango,18.65,-98.1833,16.9,50,0,1.03,MX,1674631331
255,aguimes,27.9054,-15.4461,15.35,59,75,6.17,ES,1674631331
256,lorengau,-2.0226,147.2712,27.74,75,100,3.18,PG,1674631331
257,mancio lima,-7.6142,-72.8958,20.94,98,25,1.29,BR,1674631332
258,manaus,-3.1019,-60.025,22.91,95,100,1.7,BR,1674631313
259,ostrovnoy,68.0531,39.5131,-3.37,88,100,12.6,RU,1674631333
260,itamaraca,-7.7478,-34.8256,24.94,76,2,2.88,BR,1674631333
261,luanda,-8.8368,13.2343,25.74,82,100,3.3,AO,1674631334
262,lebu,-37.6167,-73.65,12.4,78,6,6.85,CL,1674631334
263,porto santo,33.072,-16.3415,15.21,51,40,5.66,PT,1674631334
264,ust-kuyga,70.0167,135.6,-49.69,99,98,1.05,RU,1674631335
265,touros,-5.1989,-35.4608,25.22,76,3,3.74,BR,1674631336
266,mopti,14.6667,-4.0,23.67,18,97,2.47,ML,1674631336
267,catuday,16.2923,119.8062,26.98,55,13,2.49,PH,1674631337
268,half moon bay,37.4636,-122.4286,12.79,68,75,0.0,US,1674631046
269,lafiagi,8.8667,5.4167,25.5,19,3,0.08,NG,1674631339
270,bambous virieux,-20.3428,57.7575,24.01,93,100,4.23,MU,1674631340
271,torbay,47.6666,-52.7314,0.88,83,75,11.83,CA,1674631340
272,kudahuvadhoo,2.6708,72.8944,26.66,76,89,3.35,MV,1674631277
273,udachnyy,66.4167,112.4,-40.21,100,77,1.67,RU,1674631341
274,salym,60.0625,71.4789,-8.71,92,100,4.73,RU,1674631342
275,geraldton,-28.7667,114.6,29.23,48,0,10.29,AU,1674631342
276,morro bay,35.3658,-120.8499,9.52,32,0,0.45,US,1674631343
277,tarko-sale,64.9225,77.785,-15.12,95,100,8.36,RU,1674631343
278,chapais,49.7834,-74.8492,-29.12,100,17,1.02,CA,1674631068
279,ulladulla,-35.35,150.4667,25.33,66,0,5.96,AU,1674631344
280,upata,8.0086,-62.3989,20.66,98,25,1.21,VE,1674631344
